codepoints_hex,emoji,description
1F5E8,🗨,left speech bubble
1F5EF FE0F,🗯️,right anger bubble
1F5EF,🗯,right anger bubble
1F4AD,💭,thought balloon
1F4A4,💤,ZZZ
1F44B,👋,waving hand
1F44B 1F3FB,👋🏻,waving hand: light skin tone
1F44B 1F3FC,👋🏼,waving hand: medium-light skin tone
1F44B 1F3FD,👋🏽,waving hand: medium skin tone
1F44B 1F3FE,👋🏾,waving hand: medium-dark skin tone
1F44B 1F3FF,👋🏿,waving hand: dark skin tone
1F91A,🤚,raised back of hand
1F91A 1F3FB,🤚🏻,raised back of hand: light skin tone
1F91A 1F3FC,🤚🏼,raised back of hand: medium-light skin tone
1F91A 1F3FD,🤚🏽,raised back of hand: medium skin tone
1F91A 1F3FE,🤚🏾,raised back of hand: medium-dark skin tone
1F91A 1F3FF,🤚🏿,raised back of hand: dark skin tone
1F590 FE0F,🖐️,hand with fingers splayed
1F590,🖐,hand with fingers splayed
1F590 1F3FB,🖐🏻,hand with fingers splayed: light skin tone
1F590 1F3FC,🖐🏼,hand with fingers splayed: medium-light skin tone
1F590 1F3FD,🖐🏽,hand with fingers splayed: medium skin tone
1F590 1F3FE,🖐🏾,hand with fingers splayed: medium-dark skin tone
1F590 1F3FF,🖐🏿,hand with fingers splayed: dark skin tone
270B,✋,raised hand
270B 1F3FB,✋🏻,raised hand: light skin tone
270B 1F3FC,✋🏼,raised hand: medium-light skin tone
270B 1F3FD,✋🏽,raised hand: medium skin tone
270B 1F3FE,✋🏾,raised hand: medium-dark skin tone
270B 1F3FF,✋🏿,raised hand: dark skin tone
1F596,🖖,vulcan salute
1F596 1F3FB,🖖🏻,vulcan salute: light skin tone
1F596 1F3FC,🖖🏼,vulcan salute: medium-light skin tone
1F596 1F3FD,🖖🏽,vulcan salute: medium skin tone
1F596 1F3FE,🖖🏾,vulcan salute: medium-dark skin tone
1F596 1F3FF,🖖🏿,vulcan salute: dark skin tone
1FAF1,🫱,rightwards hand
1FAF1 1F3FB,🫱🏻,rightwards hand: light skin tone
1FAF1 1F3FC,🫱🏼,rightwards hand: medium-light skin tone
1FAF1 1F3FD,🫱🏽,rightwards hand: medium skin tone
1FAF1 1F3FE,🫱🏾,rightwards hand: medium-dark skin tone
1FAF1 1F3FF,🫱🏿,rightwards hand: dark skin tone
1FAF2,🫲,leftwards hand
1FAF2 1F3FB,🫲🏻,leftwards hand: light skin tone
1FAF2 1F3FC,🫲🏼,leftwards hand: medium-light skin tone
1FAF2 1F3FD,🫲🏽,leftwards hand: medium skin tone
1FAF2 1F3FE,🫲🏾,leftwards hand: medium-dark skin tone
1FAF2 1F3FF,🫲🏿,leftwards hand: dark skin tone
1FAF3,🫳,palm down hand
1FAF3 1F3FB,🫳🏻,palm down hand: light skin tone
1FAF3 1F3FC,🫳🏼,palm down hand: medium-light skin tone
1FAF3 1F3FD,🫳🏽,palm down hand: medium skin tone
1FAF3 1F3FE,🫳🏾,palm down hand: medium-dark skin tone
1FAF3 1F3FF,🫳🏿,palm down hand: dark skin tone
1FAF4,🫴,palm up hand
1FAF4 1F3FB,🫴🏻,palm up hand: light skin tone
1FAF4 1F3FC,🫴🏼,palm up hand: medium-light skin tone
1FAF4 1F3FD,🫴🏽,palm up hand: medium skin tone
1FAF4 1F3FE,🫴🏾,palm up hand: medium-dark skin tone
1FAF4 1F3FF,🫴🏿,palm up hand: dark skin tone
1FAF7,🫷,leftwards pushing hand
1FAF7 1F3FB,🫷🏻,leftwards pushing hand: light skin tone
1FAF7 1F3FC,🫷🏼,leftwards pushing hand: medium-light skin tone
1FAF7 1F3FD,🫷🏽,leftwards pushing hand: medium skin tone
1FAF7 1F3FE,🫷🏾,leftwards pushing hand: medium-dark skin tone
1FAF7 1F3FF,🫷🏿,leftwards pushing hand: dark skin tone
1FAF8,🫸,rightwards pushing hand
1FAF8 1F3FB,🫸🏻,rightwards pushing hand: light skin tone
1FAF8 1F3FC,🫸🏼,rightwards pushing hand: medium-light skin tone
1FAF8 1F3FD,🫸🏽,rightwards pushing hand: medium skin tone
1FAF8 1F3FE,🫸🏾,rightwards pushing hand: medium-dark skin tone
1FAF8 1F3FF,🫸🏿,rightwards pushing hand: dark skin tone
1F44C,👌,OK hand
1F44C 1F3FB,👌🏻,OK hand: light skin tone
1F44C 1F3FC,👌🏼,OK hand: medium-light skin tone
1F44C 1F3FD,👌🏽,OK hand: medium skin tone
1F44C 1F3FE,👌🏾,OK hand: medium-dark skin tone
1F44C 1F3FF,👌🏿,OK hand: dark skin tone
1F90C,🤌,pinched fingers
1F90C 1F3FB,🤌🏻,pinched fingers: light skin tone
1F90C 1F3FC,🤌🏼,pinched fingers: medium-light skin tone
1F90C 1F3FD,🤌🏽,pinched fingers: medium skin tone
1F90C 1F3FE,🤌🏾,pinched fingers: medium-dark skin tone
1F90C 1F3FF,🤌🏿,pinched fingers: dark skin tone
1F90F,🤏,pinching hand
1F90F 1F3FB,🤏🏻,pinching hand: light skin tone
1F90F 1F3FC,🤏🏼,pinching hand: medium-light skin tone
1F90F 1F3FD,🤏🏽,pinching hand: medium skin tone
1F90F 1F3FE,🤏🏾,pinching hand: medium-dark skin tone
1F90F 1F3FF,🤏🏿,pinching hand: dark skin tone
270C FE0F,✌️,victory hand
270C,✌,victory hand
270C 1F3FB,✌🏻,victory hand: light skin tone
270C 1F3FC,✌🏼,victory hand: medium-light skin tone
270C 1F3FD,✌🏽,victory hand: medium skin tone
270C 1F3FE,✌🏾,victory hand: medium-dark skin tone
270C 1F3FF,✌🏿,victory hand: dark skin tone
1F91E,🤞,crossed fingers
1F91E 1F3FB,🤞🏻,crossed fingers: light skin tone
1F91E 1F3FC,🤞🏼,crossed fingers: medium-light skin tone
1F91E 1F3FD,🤞🏽,crossed fingers: medium skin tone
1F91E 1F3FE,🤞🏾,crossed fingers: medium-dark skin tone
1F91E 1F3FF,🤞🏿,crossed fingers: dark skin tone
1FAF0,🫰,hand with index finger and thumb crossed
1FAF0 1F3FB,🫰🏻,hand with index finger and thumb crossed: light skin tone
1FAF0 1F3FC,🫰🏼,hand with index finger and thumb crossed: medium-light skin tone
1FAF0 1F3FD,🫰🏽,hand with index finger and thumb crossed: medium skin tone
1FAF0 1F3FE,🫰🏾,hand with index finger and thumb crossed: medium-dark skin tone
1FAF0 1F3FF,🫰🏿,hand with index finger and thumb crossed: dark skin tone
1F91F,🤟,love-you gesture
1F91F 1F3FB,🤟🏻,love-you gesture: light skin tone
1F91F 1F3FC,🤟🏼,love-you gesture: medium-light skin tone
1F91F 1F3FD,🤟🏽,love-you gesture: medium skin tone
1F91F 1F3FE,🤟🏾,love-you gesture: medium-dark skin tone
1F91F 1F3FF,🤟🏿,love-you gesture: dark skin tone
1F918,🤘,sign of the horns
1F918 1F3FB,🤘🏻,sign of the horns: light skin tone
1F918 1F3FC,🤘🏼,sign of the horns: medium-light skin tone
1F918 1F3FD,🤘🏽,sign of the horns: medium skin tone
1F918 1F3FE,🤘🏾,sign of the horns: medium-dark skin tone
1F918 1F3FF,🤘🏿,sign of the horns: dark skin tone
1F919,🤙,call me hand
1F919 1F3FB,🤙🏻,call me hand: light skin tone
1F919 1F3FC,🤙🏼,call me hand: medium-light skin tone
1F919 1F3FD,🤙🏽,call me hand: medium skin tone
1F919 1F3FE,🤙🏾,call me hand: medium-dark skin tone
1F919 1F3FF,🤙🏿,call me hand: dark skin tone
1F448,👈,backhand index pointing left
1F448 1F3FB,👈🏻,backhand index pointing left: light skin tone
1F448 1F3FC,👈🏼,backhand index pointing left: medium-light skin tone
1F448 1F3FD,👈🏽,backhand index pointing left: medium skin tone
1F448 1F3FE,👈🏾,backhand index pointing left: medium-dark skin tone
1F448 1F3FF,👈🏿,backhand index pointing left: dark skin tone
1F449,👉,backhand index pointing right
1F449 1F3FB,👉🏻,backhand index pointing right: light skin tone
1F449 1F3FC,👉🏼,backhand index pointing right: medium-light skin tone
1F449 1F3FD,👉🏽,backhand index pointing right: medium skin tone
1F449 1F3FE,👉🏾,backhand index pointing right: medium-dark skin tone
1F449 1F3FF,👉🏿,backhand index pointing right: dark skin tone
1F446,👆,backhand index pointing up
1F446 1F3FB,👆🏻,backhand index pointing up: light skin tone
1F446 1F3FC,👆🏼,backhand index pointing up: medium-light skin tone
1F446 1F3FD,👆🏽,backhand index pointing up: medium skin tone
1F446 1F3FE,👆🏾,backhand index pointing up: medium-dark skin tone
1F446 1F3FF,👆🏿,backhand index pointing up: dark skin tone
1F595,🖕,middle finger
1F595 1F3FB,🖕🏻,middle finger: light skin tone
1F595 1F3FC,🖕🏼,middle finger: medium-light skin tone
1F595 1F3FD,🖕🏽,middle finger: medium skin tone
1F595 1F3FE,🖕🏾,middle finger: medium-dark skin tone
1F595 1F3FF,🖕🏿,middle finger: dark skin tone
1F447,👇,backhand index pointing down
1F447 1F3FB,👇🏻,backhand index pointing down: light skin tone
1F447 1F3FC,👇🏼,backhand index pointing down: medium-light skin tone
1F447 1F3FD,👇🏽,backhand index pointing down: medium skin tone
1F447 1F3FE,👇🏾,backhand index pointing down: medium-dark skin tone
1F447 1F3FF,👇🏿,backhand index pointing down: dark skin tone
261D FE0F,☝️,index pointing up
261D,☝,index pointing up
261D 1F3FB,☝🏻,index pointing up: light skin tone
261D 1F3FC,☝🏼,index pointing up: medium-light skin tone
261D 1F3FD,☝🏽,index pointing up: medium skin tone
261D 1F3FE,☝🏾,index pointing up: medium-dark skin tone
261D 1F3FF,☝🏿,index pointing up: dark skin tone
1FAF5,🫵,index pointing at the viewer
1FAF5 1F3FB,🫵🏻,index pointing at the viewer: light skin tone
1FAF5 1F3FC,🫵🏼,index pointing at the viewer: medium-light skin tone
1FAF5 1F3FD,🫵🏽,index pointing at the viewer: medium skin tone
1FAF5 1F3FE,🫵🏾,index pointing at the viewer: medium-dark skin tone
1FAF5 1F3FF,🫵🏿,index pointing at the viewer: dark skin tone
1F44D,👍,thumbs up
1F44D 1F3FB,👍🏻,thumbs up: light skin tone
1F44D 1F3FC,👍🏼,thumbs up: medium-light skin tone
1F44D 1F3FD,👍🏽,thumbs up: medium skin tone
1F44D 1F3FE,👍🏾,thumbs up: medium-dark skin tone
1F44D 1F3FF,👍🏿,thumbs up: dark skin tone
1F44E,👎,thumbs down
1F44E 1F3FB,👎🏻,thumbs down: light skin tone
1F44E 1F3FC,👎🏼,thumbs down: medium-light skin tone
1F44E 1F3FD,👎🏽,thumbs down: medium skin tone
1F44E 1F3FE,👎🏾,thumbs down: medium-dark skin tone
1F44E 1F3FF,👎🏿,thumbs down: dark skin tone
270A,✊,raised fist
270A 1F3FB,✊🏻,raised fist: light skin tone
270A 1F3FC,✊🏼,raised fist: medium-light skin tone
270A 1F3FD,✊🏽,raised fist: medium skin tone
270A 1F3FE,✊🏾,raised fist: medium-dark skin tone
270A 1F3FF,✊🏿,raised fist: dark skin tone
1F44A,👊,oncoming fist
1F44A 1F3FB,👊🏻,oncoming fist: light skin tone
1F44A 1F3FC,👊🏼,oncoming fist: medium-light skin tone
1F44A 1F3FD,👊🏽,oncoming fist: medium skin tone
1F44A 1F3FE,👊🏾,oncoming fist: medium-dark skin tone
1F44A 1F3FF,👊🏿,oncoming fist: dark skin tone
1F91B,🤛,left-facing fist
1F91B 1F3FB,🤛🏻,left-facing fist: light skin tone
1F91B 1F3FC,🤛🏼,left-facing fist: medium-light skin tone
1F91B 1F3FD,🤛🏽,left-facing fist: medium skin tone
1F91B 1F3FE,🤛🏾,left-facing fist: medium-dark skin tone
1F91B 1F3FF,🤛🏿,left-facing fist: dark skin tone
1F91C,🤜,right-facing fist
1F91C 1F3FB,🤜🏻,right-facing fist: light skin tone
1F91C 1F3FC,🤜🏼,right-facing fist: medium-light skin tone
1F91C 1F3FD,🤜🏽,right-facing fist: medium skin tone
1F91C 1F3FE,🤜🏾,right-facing fist: medium-dark skin tone
1F91C 1F3FF,🤜🏿,right-facing fist: dark skin tone
1F44F,👏,clapping hands
1F44F 1F3FB,👏🏻,clapping hands: light skin tone
1F44F 1F3FC,👏🏼,clapping hands: medium-light skin tone
1F44F 1F3FD,👏🏽,clapping hands: medium skin tone
1F44F 1F3FE,👏🏾,clapping hands: medium-dark skin tone
1F44F 1F3FF,👏🏿,clapping hands: dark skin tone
1F64C,🙌,raising hands
1F64C 1F3FB,🙌🏻,raising hands: light skin tone
1F64C 1F3FC,🙌🏼,raising hands: medium-light skin tone
1F64C 1F3FD,🙌🏽,raising hands: medium skin tone
1F64C 1F3FE,🙌🏾,raising hands: medium-dark skin tone
1F64C 1F3FF,🙌🏿,raising hands: dark skin tone
1FAF6,🫶,heart hands
1FAF6 1F3FB,🫶🏻,heart hands: light skin tone
1FAF6 1F3FC,🫶🏼,heart hands: medium-light skin tone
1FAF6 1F3FD,🫶🏽,heart hands: medium skin tone
1FAF6 1F3FE,🫶🏾,heart hands: medium-dark skin tone
1FAF6 1F3FF,🫶🏿,heart hands: dark skin tone
1F450,👐,open hands
1F450 1F3FB,👐🏻,open hands: light skin tone
1F450 1F3FC,👐🏼,open hands: medium-light skin tone
1F450 1F3FD,👐🏽,open hands: medium skin tone
1F450 1F3FE,👐🏾,open hands: medium-dark skin tone
1F450 1F3FF,👐🏿,open hands: dark skin tone
1F932,🤲,palms up together
1F932 1F3FB,🤲🏻,palms up together: light skin tone
1F932 1F3FC,🤲🏼,palms up together: medium-light skin tone
1F932 1F3FD,🤲🏽,palms up together: medium skin tone
1F932 1F3FE,🤲🏾,palms up together: medium-dark skin tone
1F932 1F3FF,🤲🏿,palms up together: dark skin tone
1F91D,🤝,handshake
1F91D 1F3FB,🤝🏻,handshake: light skin tone
1F91D 1F3FC,🤝🏼,handshake: medium-light skin tone
1F91D 1F3FD,🤝🏽,handshake: medium skin tone
1F91D 1F3FE,🤝🏾,handshake: medium-dark skin tone
1F91D 1F3FF,🤝🏿,handshake: dark skin tone
1FAF1 1F3FB 200D 1FAF2 1F3FC,🫱🏻‍🫲🏼,"handshake: light skin tone, medium-light skin tone"
1FAF1 1F3FB 200D 1FAF2 1F3FD,🫱🏻‍🫲🏽,"handshake: light skin tone, medium skin tone"
1FAF1 1F3FB 200D 1FAF2 1F3FE,🫱🏻‍🫲🏾,"handshake: light skin tone, medium-dark skin tone"
1FAF1 1F3FB 200D 1FAF2 1F3FF,🫱🏻‍🫲🏿,"handshake: light skin tone, dark skin tone"
1FAF1 1F3FC 200D 1FAF2 1F3FB,🫱🏼‍🫲🏻,"handshake: medium-light skin tone, light skin tone"
1FAF1 1F3FC 200D 1FAF2 1F3FD,🫱🏼‍🫲🏽,"handshake: medium-light skin tone, medium skin tone"
1FAF1 1F3FC 200D 1FAF2 1F3FE,🫱🏼‍🫲🏾,"handshake: medium-light skin tone, medium-dark skin tone"
1FAF1 1F3FC 200D 1FAF2 1F3FF,🫱🏼‍🫲🏿,"handshake: medium-light skin tone, dark skin tone"
1FAF1 1F3FD 200D 1FAF2 1F3FB,🫱🏽‍🫲🏻,"handshake: medium skin tone, light skin tone"
1FAF1 1F3FD 200D 1FAF2 1F3FC,🫱🏽‍🫲🏼,"handshake: medium skin tone, medium-light skin tone"
1FAF1 1F3FD 200D 1FAF2 1F3FE,🫱🏽‍🫲🏾,"handshake: medium skin tone, medium-dark skin tone"
1FAF1 1F3FD 200D 1FAF2 1F3FF,🫱🏽‍🫲🏿,"handshake: medium skin tone, dark skin tone"
1FAF1 1F3FE 200D 1FAF2 1F3FB,🫱🏾‍🫲🏻,"handshake: medium-dark skin tone, light skin tone"
1FAF1 1F3FE 200D 1FAF2 1F3FC,🫱🏾‍🫲🏼,"handshake: medium-dark skin tone, medium-light skin tone"
1FAF1 1F3FE 200D 1FAF2 1F3FD,🫱🏾‍🫲🏽,"handshake: medium-dark skin tone, medium skin tone"
1FAF1 1F3FE 200D 1FAF2 1F3FF,🫱🏾‍🫲🏿,"handshake: medium-dark skin tone, dark skin tone"
1FAF1 1F3FF 200D 1FAF2 1F3FB,🫱🏿‍🫲🏻,"handshake: dark skin tone, light skin tone"
1FAF1 1F3FF 200D 1FAF2 1F3FC,🫱🏿‍🫲🏼,"handshake: dark skin tone, medium-light skin tone"
1FAF1 1F3FF 200D 1FAF2 1F3FD,🫱🏿‍🫲🏽,"handshake: dark skin tone, medium skin tone"
1FAF1 1F3FF 200D 1FAF2 1F3FE,🫱🏿‍🫲🏾,"handshake: dark skin tone, medium-dark skin tone"
1F64F,🙏,folded hands
1F64F 1F3FB,🙏🏻,folded hands: light skin tone
1F64F 1F3FC,🙏🏼,folded hands: medium-light skin tone
1F64F 1F3FD,🙏🏽,folded hands: medium skin tone
1F64F 1F3FE,🙏🏾,folded hands: medium-dark skin tone
1F64F 1F3FF,🙏🏿,folded hands: dark skin tone
270D FE0F,✍️,writing hand
270D,✍,writing hand
270D 1F3FB,✍🏻,writing hand: light skin tone
270D 1F3FC,✍🏼,writing hand: medium-light skin tone
270D 1F3FD,✍🏽,writing hand: medium skin tone
270D 1F3FE,✍🏾,writing hand: medium-dark skin tone
270D 1F3FF,✍🏿,writing hand: dark skin tone
1F485,💅,nail polish
1F485 1F3FB,💅🏻,nail polish: light skin tone
1F485 1F3FC,💅🏼,nail polish: medium-light skin tone
1F485 1F3FD,💅🏽,nail polish: medium skin tone
1F485 1F3FE,💅🏾,nail polish: medium-dark skin tone
1F485 1F3FF,💅🏿,nail polish: dark skin tone
1F933,🤳,selfie
1F933 1F3FB,🤳🏻,selfie: light skin tone
1F933 1F3FC,🤳🏼,selfie: medium-light skin tone
1F933 1F3FD,🤳🏽,selfie: medium skin tone
1F933 1F3FE,🤳🏾,selfie: medium-dark skin tone
1F933 1F3FF,🤳🏿,selfie: dark skin tone
1F4AA,💪,flexed biceps
1F4AA 1F3FB,💪🏻,flexed biceps: light skin tone
1F4AA 1F3FC,💪🏼,flexed biceps: medium-light skin tone
1F4AA 1F3FD,💪🏽,flexed biceps: medium skin tone
1F4AA 1F3FE,💪🏾,flexed biceps: medium-dark skin tone
1F4AA 1F3FF,💪🏿,flexed biceps: dark skin tone
1F9BE,🦾,mechanical arm
1F9BF,🦿,mechanical leg
1F9B5,🦵,leg
1F9B5 1F3FB,🦵🏻,leg: light skin tone
1F9B5 1F3FC,🦵🏼,leg: medium-light skin tone
1F9B5 1F3FD,🦵🏽,leg: medium skin tone
1F9B5 1F3FE,🦵🏾,leg: medium-dark skin tone
1F9B5 1F3FF,🦵🏿,leg: dark skin tone
1F9B6,🦶,foot
1F9B6 1F3FB,🦶🏻,foot: light skin tone
1F9B6 1F3FC,🦶🏼,foot: medium-light skin tone
1F9B6 1F3FD,🦶🏽,foot: medium skin tone
1F9B6 1F3FE,🦶🏾,foot: medium-dark skin tone
1F9B6 1F3FF,🦶🏿,foot: dark skin tone
1F442,👂,ear
1F442 1F3FB,👂🏻,ear: light skin tone
1F442 1F3FC,👂🏼,ear: medium-light skin tone
1F442 1F3FD,👂🏽,ear: medium skin tone
1F442 1F3FE,👂🏾,ear: medium-dark skin tone
1F442 1F3FF,👂🏿,ear: dark skin tone
1F9BB,🦻,ear with hearing aid
1F9BB 1F3FB,🦻🏻,ear with hearing aid: light skin tone
1F9BB 1F3FC,🦻🏼,ear with hearing aid: medium-light skin tone
1F9BB 1F3FD,🦻🏽,ear with hearing aid: medium skin tone
1F9BB 1F3FE,🦻🏾,ear with hearing aid: medium-dark skin tone
1F9BB 1F3FF,🦻🏿,ear with hearing aid: dark skin tone
1F443,👃,nose
1F443 1F3FB,👃🏻,nose: light skin tone
1F443 1F3FC,👃🏼,nose: medium-light skin tone
1F443 1F3FD,👃🏽,nose: medium skin tone
1F443 1F3FE,👃🏾,nose: medium-dark skin tone
1F443 1F3FF,👃🏿,nose: dark skin tone
1F9E0,🧠,brain
1FAC0,🫀,anatomical heart
1FAC1,🫁,lungs
1F9B7,🦷,tooth
1F9B4,🦴,bone
1F440,👀,eyes
1F441 FE0F,👁️,eye
1F441,👁,eye
1F445,👅,tongue
1F444,👄,mouth
1FAE6,🫦,biting lip
1F476,👶,baby
1F476 1F3FB,👶🏻,baby: light skin tone
1F476 1F3FC,👶🏼,baby: medium-light skin tone
1F476 1F3FD,👶🏽,baby: medium skin tone
1F476 1F3FE,👶🏾,baby: medium-dark skin tone
1F476 1F3FF,👶🏿,baby: dark skin tone
1F9D2,🧒,child
1F9D2 1F3FB,🧒🏻,child: light skin tone
1F9D2 1F3FC,🧒🏼,child: medium-light skin tone
1F9D2 1F3FD,🧒🏽,child: medium skin tone
1F9D2 1F3FE,🧒🏾,child: medium-dark skin tone
1F9D2 1F3FF,🧒🏿,child: dark skin tone
1F466,👦,boy
1F466 1F3FB,👦🏻,boy: light skin tone
1F466 1F3FC,👦🏼,boy: medium-light skin tone
1F466 1F3FD,👦🏽,boy: medium skin tone
1F466 1F3FE,👦🏾,boy: medium-dark skin tone
1F466 1F3FF,👦🏿,boy: dark skin tone
1F467,👧,girl
1F467 1F3FB,👧🏻,girl: light skin tone
1F467 1F3FC,👧🏼,girl: medium-light skin tone
1F467 1F3FD,👧🏽,girl: medium skin tone
1F467 1F3FE,👧🏾,girl: medium-dark skin tone
1F467 1F3FF,👧🏿,girl: dark skin tone
1F9D1,🧑,person
1F9D1 1F3FB,🧑🏻,person: light skin tone
1F9D1 1F3FC,🧑🏼,person: medium-light skin tone
1F9D1 1F3FD,🧑🏽,person: medium skin tone
1F9D1 1F3FE,🧑🏾,person: medium-dark skin tone
1F9D1 1F3FF,🧑🏿,person: dark skin tone
1F471,👱,person: blond hair
1F471 1F3FB,👱🏻,"person: light skin tone, blond hair"
1F471 1F3FC,👱🏼,"person: medium-light skin tone, blond hair"
1F471 1F3FD,👱🏽,"person: medium skin tone, blond hair"
1F471 1F3FE,👱🏾,"person: medium-dark skin tone, blond hair"
1F471 1F3FF,👱🏿,"person: dark skin tone, blond hair"
1F468,👨,man
1F468 1F3FB,👨🏻,man: light skin tone
1F468 1F3FC,👨🏼,man: medium-light skin tone
